Item Information,Base Price (Shipping not included),Newegg Purchase Link
"GIGABYTE GeForce RTX 4070 GAMING OC V2 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N4070GAMING OCV2-12GD Video Card",$549,https://tinyurl.com/27hqcxrf
Inno3D AX New RTX 4080 X3W 16GB Graphics Card GDDR6X 256bit   NVIDIA GPU Video Cards,"$1,235",https://tinyurl.com/2mzg6wag
GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD,$549,https://tinyurl.com/27danncz
Inno3D AX Gaming New Graphic Card GEFORCE RTX 3050 X2W 8GB GDDR6 128Bit 8Pin 8NM 1777MHz Gaming GPU Video Cards,$339,https://tinyurl.com/2hbboqla
"GIGABYTE GeForce RTX 4070 SUPER WINDFORCE OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SWF3OC-12GD  Video Card",$599,https://tinyurl.com/29wb4rhk
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti SUPER OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TIS-O16G-GAMING",$824,https://tinyurl.com/2a3kkb9f
"ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2.5-slot design, Axial-tech fan design, 0dB technology) DUAL-RTX4070S-O12G-EVO",$599,https://tinyurl.com/26x55gg8
"ZOTAC GAMING GeForce RTX 4070 Ti SUPER Trinity Black Edition DLSS 3 16GB GDDR6X 256-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40730D-10P",$799,https://tinyurl.com/2bpnglvp
MSI Gaming GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G GAMING X SLIM,$649,https://tinyurl.com/2xt889r7
"ASUS Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6X is designed for broad compatibility, with a 2.5-slot design, Axial-tech fan design, 0dB technology, Auto-Extreme Technology",$549,https://tinyurl.com/2dqjecnd
"GIGABYTE GeForce RTX 4070 SUPER GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SGAMING OC-12GD  Video Card",$612,https://tinyurl.com/23h2xj2d
"ZOTAC GAMING GeForce RTX 4070 SUPER Twin Edge DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40720E-10M",$589,https://tinyurl.com/2y28a6tx
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X 12G OC,$549,https://tinyurl.com/22rz9u3v
"ASUS Dual GeForce RTX 4070 SUPER White OC Edition (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-O12G-WHITE",$609,https://tinyurl.com/2yohveq7
MSI Gaming GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G GAMING X SLIM MLG,$659,https://tinyurl.com/29kbyxey
"ASUS TUF Gaming GeForce RTX 4070 SUPER OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070S-O12G-GAMING",$659,https://tinyurl.com/27gt767g
"GIGABYTE GeForce RTX 4070 SUPER AERO OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SAERO OC-12GD Video Card",$679,https://tinyurl.com/2735gvqw
"GIGABYTE GeForce RTX 4070 SUPER EAGLE OC ICE 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SEAGLEOC ICE-12GD Video Card",$639,https://tinyurl.com/2cp2jtlc
MSI Ventus GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G VENTUS 2X WHITE OC,$619,https://tinyurl.com/25egpg75
"GIGABYTE GeForce RTX­­ 4070 Ti SUPER WINDFORCE MAX OC 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSWF3MAX OC-16GD Video Card",$819,https://tinyurl.com/2qlojd2f
"GIGABYTE GeForce RTX­­ 4070 Ti SUPER WINDFORCE MAX OC 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSWF3MAX OC-16GD Video Card",$819,https://tinyurl.com/2qlojd2f
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X WHITE 12G OC,$544,https://tinyurl.com/25ygngtu
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X - 7680 x 4320 - 2.66 GHz Boost Clock - 192 bit Bus Width - PCI Express 4.0 - DisplayPort - 3 x DisplayPort - HDMI,$811,https://tinyurl.com/2chndt3n
"ASUS Dual GeForce RTX 4070 SUPER OC Edition graphics card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-O12G",$672,https://tinyurl.com/2y93lr2p
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti SUPER White OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TIS-O16G-WHITE-GAMING",$859,https://tinyurl.com/245nehst
"GIGABYTE GeForce RTX 4070 AERO OC V2 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N4070AERO OCV2-12GD Video Card",$569,https://tinyurl.com/2cclb7fa
"ZOTAC GAMING GeForce RTX 4070 SUPER Twin Edge OC DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40720H-10M",$599,https://tinyurl.com/2yopxsrf
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G OC,$554,https://tinyurl.com/2xeomlsj
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TI-12G-GAMING","$1,186",https://tinyurl.com/28689d48
MSI EXPERT GeForce RTX 4070 Ti SUPER 16GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 Ti SUPER 16G EXPERT,$799,https://tinyurl.com/23owoafc
"ASUS Dual GeForce RTX 4070 SUPER graphics card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-12G",$688,https://tinyurl.com/2agu5nkg
"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card",$819,https://tinyurl.com/23ssmg5z
"ASUS ROG Strix GeForce RTX 4070 SUPER OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, DLSS 3, Massive vented backplate, Power sensing, Aura Sync) ROG-STRIX-RTX4070S-O12G-GAMING",$749,https://tinyurl.com/28l6x6pm
"ZOTAC GAMING GeForce RTX 4070 Ti SUPER Trinity OC White Edition DLSS 3 16GB GDDR6X 256-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40730Q-10P",$839,https://tinyurl.com/284y45p9
"GIGABYTE GeForce RTX 4070 Ti SUPER AERO OC 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSAERO OC-16GD Video Card",$858,https://tinyurl.com/2bd25zof
"ZOTAC GAMING GeForce RTX 4070 Twin Edge DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40700E-10M",$549,https://tinyurl.com/2ajfdfa6
"GIGABYTE GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSEAGLE OC ICE-16GD Video Card","$1,399",https://tinyurl.com/2zjru6so
PNY GeForce RTX 4070 SUPER 12GB VERTO Overclocked Dual Fan DLSS 3 VCG4070S12DFXPB1-O,$584,https://tinyurl.com/28smj335
"GIGABYTE GeForce RTX 4070 GAMING OC V2 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N4070GAMING OCV2-12GD Video Card",$549,https://tinyurl.com/27hqcxrf
Inno3D AX New RTX 4080 X3W 16GB Graphics Card GDDR6X 256bit   NVIDIA GPU Video Cards,"$1,235",https://tinyurl.com/2mzg6wag
GIGABYTE WINDFORCE GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070WF3OC-12GD,$549,https://tinyurl.com/27danncz
Inno3D AX Gaming New Graphic Card GEFORCE RTX 3050 X2W 8GB GDDR6 128Bit 8Pin 8NM 1777MHz Gaming GPU Video Cards,$339,https://tinyurl.com/2hbboqla
"GIGABYTE GeForce RTX 4070 SUPER WINDFORCE OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SWF3OC-12GD  Video Card",$599,https://tinyurl.com/29wb4rhk
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti SUPER OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TIS-O16G-GAMING",$824,https://tinyurl.com/2a3kkb9f
"ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2.5-slot design, Axial-tech fan design, 0dB technology) DUAL-RTX4070S-O12G-EVO",$599,https://tinyurl.com/26x55gg8
"ZOTAC GAMING GeForce RTX 4070 Ti SUPER Trinity Black Edition DLSS 3 16GB GDDR6X 256-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40730D-10P",$799,https://tinyurl.com/2bpnglvp
MSI Gaming GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G GAMING X SLIM,$649,https://tinyurl.com/2xt889r7
"ASUS Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6X is designed for broad compatibility, with a 2.5-slot design, Axial-tech fan design, 0dB technology, Auto-Extreme Technology",$549,https://tinyurl.com/2dqjecnd
"GIGABYTE GeForce RTX 4070 SUPER GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SGAMING OC-12GD  Video Card",$612,https://tinyurl.com/23h2xj2d
"ZOTAC GAMING GeForce RTX 4070 SUPER Twin Edge DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40720E-10M",$589,https://tinyurl.com/2y28a6tx
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X 12G OC,$549,https://tinyurl.com/22rz9u3v
"ASUS Dual GeForce RTX 4070 SUPER White OC Edition (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-O12G-WHITE",$609,https://tinyurl.com/2yohveq7
MSI Gaming GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G GAMING X SLIM MLG,$659,https://tinyurl.com/29kbyxey
"ASUS TUF Gaming GeForce RTX 4070 SUPER OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070S-O12G-GAMING",$659,https://tinyurl.com/27gt767g
"GIGABYTE GeForce RTX 4070 SUPER AERO OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SAERO OC-12GD Video Card",$679,https://tinyurl.com/2735gvqw
"GIGABYTE GeForce RTX 4070 SUPER EAGLE OC ICE 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407SEAGLEOC ICE-12GD Video Card",$639,https://tinyurl.com/2cp2jtlc
MSI Ventus GeForce RTX 4070 SUPER 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 SUPER 12G VENTUS 2X WHITE OC,$619,https://tinyurl.com/25egpg75
"GIGABYTE GeForce RTX­­ 4070 Ti SUPER WINDFORCE MAX OC 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSWF3MAX OC-16GD Video Card",$819,https://tinyurl.com/2qlojd2f
"GIGABYTE GeForce RTX­­ 4070 Ti SUPER WINDFORCE MAX OC 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSWF3MAX OC-16GD Video Card",$819,https://tinyurl.com/2qlojd2f
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X WHITE 12G OC,$544,https://tinyurl.com/25ygngtu
MSI NVIDIA GeForce RTX 4070 Ti Graphic Card - 12 GB GDDR6X - 7680 x 4320 - 2.66 GHz Boost Clock - 192 bit Bus Width - PCI Express 4.0 - DisplayPort - 3 x DisplayPort - HDMI,$811,https://tinyurl.com/2chndt3n
"ASUS Dual GeForce RTX 4070 SUPER OC Edition graphics card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-O12G",$672,https://tinyurl.com/2y93lr2p
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti SUPER White OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TIS-O16G-WHITE-GAMING",$859,https://tinyurl.com/245nehst
"GIGABYTE GeForce RTX 4070 AERO OC V2 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N4070AERO OCV2-12GD Video Card",$569,https://tinyurl.com/2cclb7fa
"ZOTAC GAMING GeForce RTX 4070 SUPER Twin Edge OC DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40720H-10M",$599,https://tinyurl.com/2yopxsrf
MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G OC,$554,https://tinyurl.com/2xeomlsj
"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TI-12G-GAMING","$1,186",https://tinyurl.com/28689d48
MSI EXPERT GeForce RTX 4070 Ti SUPER 16GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 Ti SUPER 16G EXPERT,$799,https://tinyurl.com/23owoafc
"ASUS Dual GeForce RTX 4070 SUPER graphics card (PCIe 4.0, 12GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a, 2.56-slot design, Axial-tech fan design, Auto-Extreme Tech) DUAL-RTX4070S-12G",$688,https://tinyurl.com/2agu5nkg
"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card",$819,https://tinyurl.com/23ssmg5z
"ASUS ROG Strix GeForce RTX 4070 SUPER OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, DLSS 3, Massive vented backplate, Power sensing, Aura Sync) ROG-STRIX-RTX4070S-O12G-GAMING",$749,https://tinyurl.com/28l6x6pm
"ZOTAC GAMING GeForce RTX 4070 Ti SUPER Trinity OC White Edition DLSS 3 16GB GDDR6X 256-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40730Q-10P",$839,https://tinyurl.com/284y45p9
"GIGABYTE GeForce RTX 4070 Ti SUPER AERO OC 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSAERO OC-16GD Video Card",$858,https://tinyurl.com/2bd25zof
"ZOTAC GAMING GeForce RTX 4070 Twin Edge DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Compact Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA RGB Lighting, ZT-D40700E-10M",$549,https://tinyurl.com/2ajfdfa6
"GIGABYTE GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16G Graphics Card, 3x WINDFORCE Fans, 16GB 256-bit GDDR6X, GV-N407TSEAGLE OC ICE-16GD Video Card","$1,399",https://tinyurl.com/2zjru6so
PNY GeForce RTX 4070 SUPER 12GB VERTO Overclocked Dual Fan DLSS 3 VCG4070S12DFXPB1-O,$584,https://tinyurl.com/28smj335
